index,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis
General_Ensemble_Accuracy,0.6998106060606061,0.6764705882352942,0.7317073170731707,0.6917562724014337,0.730593607305936,0.6880733944954128,0.7080645161290322
Mean,0.5259836316108704,0.5962857604026794,0.5566386580467224,0.5169204473495483,0.5606223940849304,0.5895571708679199,0.4812771677970886
Std,0.0610385574400424,0.05542678758502,0.0629248172044754,0.0594537295401096,0.0670956373214721,0.0591727122664451,0.0623506717383861
IQR,0.081263760485771,0.0738693286829135,0.0863013644286287,0.0784688879120449,0.091945533746998,0.0794416876561051,0.0825450891208264
Entropy,0.1598489215696213,0.0,0.2011904632213183,0.1464714748277997,0.2109764235006929,0.0,0.1620171550122208
Jitter,0.1011900411146647,0.0872768253029639,0.1291931200718808,0.0921191981412438,0.1358580574103421,0.0998538564381539,0.1021296806613578
Per_Sample_Accuracy,0.6903503787878787,0.6806911764705882,0.7265040650406503,0.680531660692951,0.7278767123287672,0.6914678899082569,0.6895645161290322
Label_Stability,0.8581818181818182,0.8778529411764706,0.8196747967479674,0.8719354838709676,0.8056164383561644,0.8579816513761468,0.8583225806451614
TPR,0.6465863453815262,0.4850746268656716,0.6428571428571429,0.6509433962264151,0.6216216216216216,0.5060240963855421,0.7168674698795181
TNR,0.7473118279569892,0.8009708737864077,0.7777777777777778,0.7336561743341404,0.7862068965517242,0.8,0.6979166666666666
PPV,0.6954643628509719,0.6132075471698113,0.6,0.7150259067357513,0.5974025974025974,0.6086956521739131,0.7323076923076923
FNR,0.3534136546184739,0.5149253731343284,0.3571428571428571,0.3490566037735849,0.3783783783783784,0.4939759036144578,0.2831325301204819
FPR,0.2526881720430107,0.1990291262135922,0.2222222222222222,0.2663438256658595,0.2137931034482758,0.2,0.3020833333333333
Accuracy,0.6998106060606061,0.6764705882352942,0.7317073170731707,0.6917562724014337,0.730593607305936,0.6880733944954128,0.7080645161290322
F1,0.6701352757544224,0.5416666666666666,0.6206896551724138,0.6814814814814815,0.609271523178808,0.5526315789473685,0.7245053272450532
Selection-Rate,0.4384469696969697,0.3117647058823529,0.3658536585365853,0.4611708482676224,0.3515981735159817,0.3165137614678899,0.5241935483870968
Positive-Rate,0.929718875502008,0.7910447761194029,1.0714285714285714,0.910377358490566,1.0405405405405406,0.8313253012048193,0.9789156626506024
